True nu: 0.05
Initial nu_pinn guess: 0.060000
Starting Adam training...
Adam Epoch 0: Loss = 5.577631, Discovered nu = 0.060060
Adam Epoch 100: Loss = 0.729059, Discovered nu = 0.059983
Adam Epoch 200: Loss = 0.715549, Discovered nu = 0.059925
Adam Epoch 300: Loss = 0.710668, Discovered nu = 0.059898
Adam Epoch 400: Loss = 0.706566, Discovered nu = 0.059859
Adam Epoch 500: Loss = 0.701526, Discovered nu = 0.059804
Adam Epoch 600: Loss = 0.694210, Discovered nu = 0.059730
Adam Epoch 700: Loss = 0.682407, Discovered nu = 0.059630
Adam Epoch 800: Loss = 0.661795, Discovered nu = 0.059478
Adam Epoch 900: Loss = 0.623734, Discovered nu = 0.059179
Adam Epoch 1000: Loss = 0.553734, Discovered nu = 0.057889
Adam Epoch 1100: Loss = 0.447659, Discovered nu = 0.051491
Adam Epoch 1200: Loss = 0.346340, Discovered nu = 0.042093
Adam Epoch 1300: Loss = 0.261963, Discovered nu = 0.036213
Adam Epoch 1400: Loss = 0.195969, Discovered nu = 0.032338
Adam Epoch 1500: Loss = 0.150675, Discovered nu = 0.029914
Adam Epoch 1600: Loss = 0.121006, Discovered nu = 0.029147
Adam Epoch 1700: Loss = 0.099865, Discovered nu = 0.029141
Adam Epoch 1800: Loss = 0.083687, Discovered nu = 0.029140
Adam Epoch 1900: Loss = 0.071465, Discovered nu = 0.029040

Adam training finished.
Starting L-BFGS-B training with SciPy...
  L-BFGS-B: Loss = 6.261572e-02, Grad Norm = 8.155838e-01, nu_pinn_grad = 3.733774e-04
  L-BFGS-B: Loss = 5.928965e+03, Grad Norm = 2.959081e+04, nu_pinn_grad = -3.985549e+00
  L-BFGS-B: Loss = 6.259004e-02, Grad Norm = 1.692413e-01, nu_pinn_grad = -1.434298e-04
  L-BFGS-B: Loss = 6.259123e-02, Grad Norm = 1.345578e-01, nu_pinn_grad = -1.264586e-04
  L-BFGS-B: Loss = 6.258924e-02, Grad Norm = 1.665970e-01, nu_pinn_grad = -1.444637e-04
  L-BFGS-B: Loss = 6.258909e-02, Grad Norm = 1.663630e-01, nu_pinn_grad = -1.442995e-04
  L-BFGS-B: Loss = 6.259024e-02, Grad Norm = 1.425441e-01, nu_pinn_grad = -1.348076e-04
  L-BFGS-B: Loss = 6.258915e-02, Grad Norm = 1.654595e-01, nu_pinn_grad = -1.444066e-04
  L-BFGS-B: Loss = 6.258908e-02, Grad Norm = 1.662897e-01, nu_pinn_grad = -1.442973e-04
  L-BFGS-B: Loss = 6.258909e-02, Grad Norm = 1.662683e-01, nu_pinn_grad = -1.442485e-04
  L-BFGS-B: Loss = 6.258908e-02, Grad Norm = 1.662897e-01, nu_pinn_grad = -1.442973e-04
  L-BFGS-B: Loss = 6.258684e-02, Grad Norm = 3.937198e-01, nu_pinn_grad = 4.030160e-05
  L-BFGS-B: Loss = 6.258200e-02, Grad Norm = 2.378299e-01, nu_pinn_grad = -5.539514e-05
  L-BFGS-B: Loss = 6.257415e-02, Grad Norm = 2.149718e-01, nu_pinn_grad = -1.737110e-04
  L-BFGS-B: Loss = 6.256348e-02, Grad Norm = 2.460319e-01, nu_pinn_grad = -2.958529e-04
  L-BFGS-B: Loss = 6.255177e-02, Grad Norm = 1.955402e+00, nu_pinn_grad = -1.677910e-03
  L-BFGS-B: Loss = 6.252035e-02, Grad Norm = 9.746227e-01, nu_pinn_grad = -8.768448e-04
  L-BFGS-B: Loss = 6.245786e-02, Grad Norm = 7.855517e-01, nu_pinn_grad = -8.028592e-04
  L-BFGS-B: Loss = 6.231891e-02, Grad Norm = 1.845611e+00, nu_pinn_grad = -1.851286e-03
  L-BFGS-B: Loss = 6.212624e-02, Grad Norm = 8.190019e-01, nu_pinn_grad = -1.136601e-03
  L-BFGS-B: Loss = 6.198407e-02, Grad Norm = 5.459133e-01, nu_pinn_grad = -7.738047e-04
  L-BFGS-B: Loss = 6.195003e-02, Grad Norm = 8.299459e-01, nu_pinn_grad = -8.817610e-04
  L-BFGS-B: Loss = 6.178896e-02, Grad Norm = 1.193451e+00, nu_pinn_grad = -1.186030e-03
  L-BFGS-B: Loss = 6.138586e-02, Grad Norm = 1.870267e+00, nu_pinn_grad = -1.809442e-03
  L-BFGS-B: Loss = 6.106929e-02, Grad Norm = 1.787054e+00, nu_pinn_grad = -3.442920e-03
  L-BFGS-B: Loss = 6.071635e-02, Grad Norm = 7.490591e-01, nu_pinn_grad = -3.842074e-03
  L-BFGS-B: Loss = 6.054367e-02, Grad Norm = 6.838546e-01, nu_pinn_grad = -3.429843e-03
  L-BFGS-B: Loss = 6.026071e-02, Grad Norm = 6.743938e-01, nu_pinn_grad = -1.881865e-03
  L-BFGS-B: Loss = 5.980719e-02, Grad Norm = 1.082832e+00, nu_pinn_grad = -5.498261e-04
  L-BFGS-B: Loss = 5.919795e-02, Grad Norm = 7.477888e-01, nu_pinn_grad = 1.211526e-03
  L-BFGS-B: Loss = 5.863756e-02, Grad Norm = 1.990738e+00, nu_pinn_grad = 1.342470e-03
  L-BFGS-B: Loss = 5.790710e-02, Grad Norm = 1.354447e+00, nu_pinn_grad = 2.116128e-03
  L-BFGS-B: Loss = 5.725522e-02, Grad Norm = 8.579901e-01, nu_pinn_grad = 9.909607e-04
  L-BFGS-B: Loss = 5.675657e-02, Grad Norm = 1.014036e+00, nu_pinn_grad = -4.163501e-04
  L-BFGS-B: Loss = 5.641701e-02, Grad Norm = 9.138190e-01, nu_pinn_grad = -2.811357e-03
  L-BFGS-B: Loss = 5.624082e-02, Grad Norm = 1.322776e+00, nu_pinn_grad = -2.903809e-03
  L-BFGS-B: Loss = 5.613678e-02, Grad Norm = 8.918020e-01, nu_pinn_grad = -2.654138e-03
  L-BFGS-B: Loss = 5.603961e-02, Grad Norm = 5.323138e-01, nu_pinn_grad = -2.827945e-03
  L-BFGS-B: Loss = 5.598976e-02, Grad Norm = 4.276203e-01, nu_pinn_grad = -3.290594e-03
  L-BFGS-B: Loss = 5.591879e-02, Grad Norm = 1.059099e+00, nu_pinn_grad = -5.677866e-03
  L-BFGS-B: Loss = 5.583061e-02, Grad Norm = 7.149998e-01, nu_pinn_grad = -6.326764e-03
  L-BFGS-B: Loss = 5.571024e-02, Grad Norm = 8.354705e-01, nu_pinn_grad = -6.680759e-03
  L-BFGS-B: Loss = 5.562241e-02, Grad Norm = 9.844431e-01, nu_pinn_grad = -7.127848e-03
  L-BFGS-B: Loss = 5.545889e-02, Grad Norm = 1.486230e+00, nu_pinn_grad = -7.959182e-03
  L-BFGS-B: Loss = 5.529534e-02, Grad Norm = 5.325824e-01, nu_pinn_grad = -6.702166e-03
  L-BFGS-B: Loss = 5.514814e-02, Grad Norm = 5.448283e-01, nu_pinn_grad = -5.230826e-03
  L-BFGS-B: Loss = 5.498707e-02, Grad Norm = 1.437213e+00, nu_pinn_grad = -3.241393e-03
  L-BFGS-B: Loss = 5.489940e-02, Grad Norm = 1.381357e+00, nu_pinn_grad = -2.462230e-03
  L-BFGS-B: Loss = 5.474129e-02, Grad Norm = 5.375083e-01, nu_pinn_grad = -2.442774e-03
  L-BFGS-B: Loss = 5.468139e-02, Grad Norm = 6.661819e-01, nu_pinn_grad = -2.483855e-03
  L-BFGS-B: Loss = 5.447517e-02, Grad Norm = 1.385296e+00, nu_pinn_grad = -3.933517e-03
  L-BFGS-B: Loss = 5.430016e-02, Grad Norm = 1.247160e+00, nu_pinn_grad = -3.717958e-03
  L-BFGS-B: Loss = 5.399216e-02, Grad Norm = 4.670726e-01, nu_pinn_grad = -1.450348e-03
  L-BFGS-B: Loss = 5.385538e-02, Grad Norm = 5.971041e-01, nu_pinn_grad = -1.293562e-03
  L-BFGS-B: Loss = 5.368623e-02, Grad Norm = 1.097858e+00, nu_pinn_grad = -5.378308e-04
  L-BFGS-B: Loss = 5.357426e-02, Grad Norm = 1.112428e+00, nu_pinn_grad = -7.982673e-04
  L-BFGS-B: Loss = 5.328112e-02, Grad Norm = 1.456053e+00, nu_pinn_grad = -1.118428e-03
  L-BFGS-B: Loss = 5.307283e-02, Grad Norm = 1.130569e+00, nu_pinn_grad = -1.013343e-03
  L-BFGS-B: Loss = 5.283705e-02, Grad Norm = 6.665496e-01, nu_pinn_grad = 4.125802e-05
  L-BFGS-B: Loss = 5.275457e-02, Grad Norm = 8.532218e-01, nu_pinn_grad = 6.580179e-04
  L-BFGS-B: Loss = 5.265190e-02, Grad Norm = 1.482417e+00, nu_pinn_grad = 1.472829e-03
  L-BFGS-B: Loss = 5.256557e-02, Grad Norm = 7.271512e-01, nu_pinn_grad = 1.397994e-03
  L-BFGS-B: Loss = 5.246823e-02, Grad Norm = 6.241230e-01, nu_pinn_grad = 6.129323e-04
  L-BFGS-B: Loss = 5.227651e-02, Grad Norm = 1.105402e+00, nu_pinn_grad = 2.530984e-04
  L-BFGS-B: Loss = 5.211899e-02, Grad Norm = 1.525179e+00, nu_pinn_grad = 6.050343e-05
  L-BFGS-B: Loss = 5.182499e-02, Grad Norm = 7.657705e-01, nu_pinn_grad = -1.235277e-04
  L-BFGS-B: Loss = 5.171522e-02, Grad Norm = 3.481315e-01, nu_pinn_grad = 5.653620e-04
  L-BFGS-B: Loss = 5.165511e-02, Grad Norm = 6.308045e-01, nu_pinn_grad = 1.262022e-03
  L-BFGS-B: Loss = 5.161153e-02, Grad Norm = 8.344077e-01, nu_pinn_grad = 1.366093e-03
  L-BFGS-B: Loss = 5.154528e-02, Grad Norm = 9.346679e-01, nu_pinn_grad = 1.764249e-03
  L-BFGS-B: Loss = 5.144594e-02, Grad Norm = 6.124593e-01, nu_pinn_grad = 1.497137e-03
  L-BFGS-B: Loss = 5.131264e-02, Grad Norm = 4.259955e-01, nu_pinn_grad = 1.486000e-03
  L-BFGS-B: Loss = 5.128258e-02, Grad Norm = 4.696474e-01, nu_pinn_grad = 2.122449e-03
  L-BFGS-B: Loss = 5.107749e-02, Grad Norm = 6.046402e-01, nu_pinn_grad = 2.639293e-03
  L-BFGS-B: Loss = 5.084632e-02, Grad Norm = 1.383552e+00, nu_pinn_grad = 4.439130e-03
  L-BFGS-B: Loss = 5.069416e-02, Grad Norm = 1.129698e+00, nu_pinn_grad = 4.321188e-03
  L-BFGS-B: Loss = 5.047314e-02, Grad Norm = 5.502474e-01, nu_pinn_grad = 3.766495e-03
  L-BFGS-B: Loss = 5.041359e-02, Grad Norm = 5.813791e-01, nu_pinn_grad = 3.243373e-03
  L-BFGS-B: Loss = 5.033460e-02, Grad Norm = 1.207431e+00, nu_pinn_grad = 4.049474e-04
  L-BFGS-B: Loss = 5.022915e-02, Grad Norm = 7.532701e-01, nu_pinn_grad = 7.779996e-04
  L-BFGS-B: Loss = 5.000841e-02, Grad Norm = 1.012492e+00, nu_pinn_grad = -2.662117e-04
  L-BFGS-B: Loss = 4.984362e-02, Grad Norm = 1.284445e+00, nu_pinn_grad = 4.252064e-04
  L-BFGS-B: Loss = 4.948755e-02, Grad Norm = 1.547217e+00, nu_pinn_grad = 1.206408e-03
  L-BFGS-B: Loss = 4.901226e-02, Grad Norm = 1.515662e+00, nu_pinn_grad = 1.778073e-03
  L-BFGS-B: Loss = 4.841832e-02, Grad Norm = 6.012326e-01, nu_pinn_grad = 1.399740e-03
  L-BFGS-B: Loss = 4.819443e-02, Grad Norm = 4.443441e-01, nu_pinn_grad = 7.611917e-04
  L-BFGS-B: Loss = 4.798638e-02, Grad Norm = 9.081156e-01, nu_pinn_grad = 6.797487e-04
  L-BFGS-B: Loss = 4.789027e-02, Grad Norm = 1.166394e+00, nu_pinn_grad = 7.810285e-04
  L-BFGS-B: Loss = 4.773934e-02, Grad Norm = 9.694406e-01, nu_pinn_grad = 7.757465e-04
  L-BFGS-B: Loss = 4.761735e-02, Grad Norm = 3.377733e-01, nu_pinn_grad = 2.129896e-03
  L-BFGS-B: Loss = 4.755516e-02, Grad Norm = 3.469122e-01, nu_pinn_grad = 3.698527e-03
  L-BFGS-B: Loss = 4.739618e-02, Grad Norm = 5.082217e-01, nu_pinn_grad = 4.068071e-03
  L-BFGS-B: Loss = 4.721992e-02, Grad Norm = 5.413576e-01, nu_pinn_grad = 3.469573e-03
  L-BFGS-B: Loss = 4.712728e-02, Grad Norm = 3.236091e-01, nu_pinn_grad = 2.629263e-03
  L-BFGS-B: Loss = 4.702779e-02, Grad Norm = 5.792357e-01, nu_pinn_grad = 2.326271e-03
  L-BFGS-B: Loss = 4.692635e-02, Grad Norm = 6.821506e-01, nu_pinn_grad = 1.821882e-03
  L-BFGS-B: Loss = 4.667352e-02, Grad Norm = 7.463013e-01, nu_pinn_grad = 1.318011e-03
  L-BFGS-B: Loss = 4.655107e-02, Grad Norm = 4.240974e-01, nu_pinn_grad = 1.166472e-03
  L-BFGS-B: Loss = 4.645338e-02, Grad Norm = 4.124484e-01, nu_pinn_grad = 1.432290e-03
  L-BFGS-B: Loss = 4.641239e-02, Grad Norm = 4.777872e-01, nu_pinn_grad = 1.864086e-03
  L-BFGS-B: Loss = 4.625444e-02, Grad Norm = 4.153272e-01, nu_pinn_grad = 2.293211e-03
  L-BFGS-B: Loss = 4.612505e-02, Grad Norm = 6.445039e-01, nu_pinn_grad = 2.755476e-03
  L-BFGS-B: Loss = 4.590771e-02, Grad Norm = 8.046062e-01, nu_pinn_grad = 2.481199e-03
  L-BFGS-B: Loss = 4.564595e-02, Grad Norm = 9.032234e-01, nu_pinn_grad = 1.645835e-03
  L-BFGS-B: Loss = 4.538115e-02, Grad Norm = 8.415134e-01, nu_pinn_grad = 1.469048e-03
  L-BFGS-B: Loss = 4.504525e-02, Grad Norm = 1.029762e+00, nu_pinn_grad = 7.833417e-04
  L-BFGS-B: Loss = 4.477032e-02, Grad Norm = 4.901725e-01, nu_pinn_grad = 1.066716e-03
  L-BFGS-B: Loss = 4.466059e-02, Grad Norm = 6.645889e-01, nu_pinn_grad = 2.680282e-03
  L-BFGS-B: Loss = 4.460812e-02, Grad Norm = 3.173271e-01, nu_pinn_grad = 2.553323e-03
  L-BFGS-B: Loss = 4.455434e-02, Grad Norm = 5.355228e-01, nu_pinn_grad = 3.004595e-03
  L-BFGS-B: Loss = 4.446140e-02, Grad Norm = 2.982630e-01, nu_pinn_grad = 2.813766e-03
  L-BFGS-B: Loss = 4.415843e-02, Grad Norm = 6.131240e-01, nu_pinn_grad = 1.899165e-03
  L-BFGS-B: Loss = 4.404685e-02, Grad Norm = 5.540160e-01, nu_pinn_grad = 8.702158e-04
  L-BFGS-B: Loss = 4.395808e-02, Grad Norm = 8.985443e-01, nu_pinn_grad = 3.102354e-04
  L-BFGS-B: Loss = 4.384425e-02, Grad Norm = 7.401185e-01, nu_pinn_grad = -5.345852e-05
  L-BFGS-B: Loss = 4.364742e-02, Grad Norm = 1.089459e+00, nu_pinn_grad = 7.317723e-04
  L-BFGS-B: Loss = 4.354620e-02, Grad Norm = 7.439194e-01, nu_pinn_grad = 1.384960e-03
  L-BFGS-B: Loss = 4.340413e-02, Grad Norm = 6.745406e-01, nu_pinn_grad = 2.920408e-03
  L-BFGS-B: Loss = 4.336333e-02, Grad Norm = 6.370998e-01, nu_pinn_grad = 3.118673e-03
  L-BFGS-B: Loss = 4.324798e-02, Grad Norm = 1.204611e+00, nu_pinn_grad = 3.123278e-03
  L-BFGS-B: Loss = 4.303785e-02, Grad Norm = 8.733881e-01, nu_pinn_grad = 2.717357e-03
  L-BFGS-B: Loss = 4.258146e-02, Grad Norm = 8.072784e-01, nu_pinn_grad = 2.116226e-03
  L-BFGS-B: Loss = 4.219679e-02, Grad Norm = 1.012076e+00, nu_pinn_grad = 1.575589e-03
  L-BFGS-B: Loss = 4.183169e-02, Grad Norm = 1.421518e+00, nu_pinn_grad = -1.081624e-03
  L-BFGS-B: Loss = 4.173634e-02, Grad Norm = 1.330725e+00, nu_pinn_grad = -1.110113e-03
  L-BFGS-B: Loss = 4.162259e-02, Grad Norm = 4.780161e-01, nu_pinn_grad = -7.943410e-04
  L-BFGS-B: Loss = 4.150245e-02, Grad Norm = 2.886340e-01, nu_pinn_grad = -6.954087e-05
  L-BFGS-B: Loss = 4.123400e-02, Grad Norm = 4.575512e-01, nu_pinn_grad = 5.322940e-04
