True nu: 0.05
Initial nu_pinn guess: 0.060000
Starting Adam training...
Adam Epoch 0: Loss = 3.206871, Discovered nu = 0.060060
Adam Epoch 100: Loss = 1.423138, Discovered nu = 0.060012
Adam Epoch 200: Loss = 1.396457, Discovered nu = 0.060053
Adam Epoch 300: Loss = 1.207655, Discovered nu = 0.058670
Adam Epoch 400: Loss = 0.770774, Discovered nu = 0.047499
Adam Epoch 500: Loss = 0.315199, Discovered nu = 0.038014
Adam Epoch 600: Loss = 0.152213, Discovered nu = 0.031352
Adam Epoch 700: Loss = 0.078922, Discovered nu = 0.027176
Adam Epoch 800: Loss = 0.054264, Discovered nu = 0.024127
Adam Epoch 900: Loss = 0.041571, Discovered nu = 0.023109

Adam training finished.
Starting L-BFGS-B training with SciPy...
  L-BFGS-B: Loss = 3.274819e-02, Grad Norm = 1.348443e-01, nu_pinn_grad = -1.279665e-03
  L-BFGS-B: Loss = 9.275184e+02, Grad Norm = 4.352755e+03, nu_pinn_grad = -2.040144e-01
  L-BFGS-B: Loss = 3.274135e-02, Grad Norm = 1.114811e-01, nu_pinn_grad = -1.422046e-03
  L-BFGS-B: Loss = 3.273498e-02, Grad Norm = 9.861729e-02, nu_pinn_grad = -1.403969e-03
  L-BFGS-B: Loss = 3.269809e-02, Grad Norm = 1.419896e-01, nu_pinn_grad = -1.335148e-03
  L-BFGS-B: Loss = 3.266459e-02, Grad Norm = 2.092249e-01, nu_pinn_grad = -1.395232e-03
  L-BFGS-B: Loss = 3.254494e-02, Grad Norm = 4.549299e-01, nu_pinn_grad = -1.210389e-03
  L-BFGS-B: Loss = 3.235215e-02, Grad Norm = 6.131679e-01, nu_pinn_grad = -1.369476e-03
  L-BFGS-B: Loss = 3.178274e-02, Grad Norm = 7.644966e-01, nu_pinn_grad = -1.907498e-03
  L-BFGS-B: Loss = 3.096847e-02, Grad Norm = 1.332444e+00, nu_pinn_grad = -3.176182e-03
  L-BFGS-B: Loss = 3.020337e-02, Grad Norm = 6.736748e-01, nu_pinn_grad = -3.291864e-03
  L-BFGS-B: Loss = 2.971440e-02, Grad Norm = 3.192269e-01, nu_pinn_grad = -3.346825e-03
  L-BFGS-B: Loss = 2.957215e-02, Grad Norm = 2.737760e-01, nu_pinn_grad = -3.307592e-03
  L-BFGS-B: Loss = 2.938451e-02, Grad Norm = 3.804826e-01, nu_pinn_grad = -3.251453e-03
  L-BFGS-B: Loss = 2.916826e-02, Grad Norm = 3.479908e-01, nu_pinn_grad = -3.273916e-03
  L-BFGS-B: Loss = 2.869955e-02, Grad Norm = 3.597052e-01, nu_pinn_grad = -3.972561e-03
  L-BFGS-B: Loss = 2.825786e-02, Grad Norm = 6.040896e-01, nu_pinn_grad = -4.457518e-03
  L-BFGS-B: Loss = 2.789477e-02, Grad Norm = 4.493155e-01, nu_pinn_grad = -4.594315e-03
  L-BFGS-B: Loss = 2.777863e-02, Grad Norm = 3.132105e-01, nu_pinn_grad = -5.417944e-03
  L-BFGS-B: Loss = 2.769211e-02, Grad Norm = 2.282654e-01, nu_pinn_grad = -5.312606e-03
  L-BFGS-B: Loss = 2.753181e-02, Grad Norm = 2.553789e-01, nu_pinn_grad = -5.305042e-03
  L-BFGS-B: Loss = 2.725291e-02, Grad Norm = 3.856906e-01, nu_pinn_grad = -5.588997e-03
  L-BFGS-B: Loss = 2.685797e-02, Grad Norm = 3.197688e-01, nu_pinn_grad = -6.067863e-03
  L-BFGS-B: Loss = 2.655779e-02, Grad Norm = 2.792270e-01, nu_pinn_grad = -6.057646e-03
  L-BFGS-B: Loss = 2.624989e-02, Grad Norm = 3.111842e-01, nu_pinn_grad = -5.801274e-03
  L-BFGS-B: Loss = 2.595630e-02, Grad Norm = 3.843372e-01, nu_pinn_grad = -5.335111e-03
  L-BFGS-B: Loss = 2.555447e-02, Grad Norm = 4.177276e-01, nu_pinn_grad = -5.049188e-03
  L-BFGS-B: Loss = 2.514174e-02, Grad Norm = 7.545599e-01, nu_pinn_grad = -4.688505e-03
  L-BFGS-B: Loss = 2.486397e-02, Grad Norm = 3.720593e-01, nu_pinn_grad = -5.329185e-03
  L-BFGS-B: Loss = 2.462498e-02, Grad Norm = 3.935926e-01, nu_pinn_grad = -6.000249e-03
  L-BFGS-B: Loss = 2.446352e-02, Grad Norm = 3.385692e-01, nu_pinn_grad = -6.354124e-03
  L-BFGS-B: Loss = 2.419816e-02, Grad Norm = 3.554831e-01, nu_pinn_grad = -6.350549e-03
  L-BFGS-B: Loss = 2.394855e-02, Grad Norm = 4.730648e-01, nu_pinn_grad = -5.864333e-03
  L-BFGS-B: Loss = 2.370332e-02, Grad Norm = 3.565389e-01, nu_pinn_grad = -4.988629e-03
  L-BFGS-B: Loss = 2.340315e-02, Grad Norm = 3.328975e-01, nu_pinn_grad = -3.740642e-03
  L-BFGS-B: Loss = 2.318374e-02, Grad Norm = 3.154933e-01, nu_pinn_grad = -3.851195e-03
  L-BFGS-B: Loss = 2.294436e-02, Grad Norm = 2.272063e-01, nu_pinn_grad = -4.387523e-03
  L-BFGS-B: Loss = 2.283664e-02, Grad Norm = 2.219109e-01, nu_pinn_grad = -5.273852e-03
  L-BFGS-B: Loss = 2.272384e-02, Grad Norm = 1.959909e-01, nu_pinn_grad = -5.727023e-03
  L-BFGS-B: Loss = 2.258941e-02, Grad Norm = 3.100537e-01, nu_pinn_grad = -6.235797e-03
  L-BFGS-B: Loss = 2.241099e-02, Grad Norm = 2.844859e-01, nu_pinn_grad = -6.191728e-03
  L-BFGS-B: Loss = 2.216210e-02, Grad Norm = 3.916440e-01, nu_pinn_grad = -5.487515e-03
  L-BFGS-B: Loss = 2.191294e-02, Grad Norm = 3.664796e-01, nu_pinn_grad = -4.561346e-03
  L-BFGS-B: Loss = 2.151291e-02, Grad Norm = 2.289810e-01, nu_pinn_grad = -3.815826e-03
  L-BFGS-B: Loss = 2.127047e-02, Grad Norm = 2.657284e-01, nu_pinn_grad = -3.493231e-03
  L-BFGS-B: Loss = 2.106567e-02, Grad Norm = 2.071818e-01, nu_pinn_grad = -3.695514e-03
  L-BFGS-B: Loss = 2.091757e-02, Grad Norm = 4.150770e-01, nu_pinn_grad = -4.271495e-03
  L-BFGS-B: Loss = 2.074484e-02, Grad Norm = 3.218530e-01, nu_pinn_grad = -4.715688e-03
  L-BFGS-B: Loss = 2.052037e-02, Grad Norm = 4.124382e-01, nu_pinn_grad = -5.205803e-03
  L-BFGS-B: Loss = 2.014987e-02, Grad Norm = 4.453520e-01, nu_pinn_grad = -4.960467e-03
  L-BFGS-B: Loss = 1.968761e-02, Grad Norm = 3.319808e-01, nu_pinn_grad = -4.528380e-03
  L-BFGS-B: Loss = 1.943103e-02, Grad Norm = 2.145810e-01, nu_pinn_grad = -3.550269e-03
  L-BFGS-B: Loss = 1.926113e-02, Grad Norm = 2.500345e-01, nu_pinn_grad = -2.701120e-03
  L-BFGS-B: Loss = 1.911862e-02, Grad Norm = 4.197699e-01, nu_pinn_grad = -2.174316e-03
  L-BFGS-B: Loss = 1.885251e-02, Grad Norm = 3.610205e-01, nu_pinn_grad = -1.717206e-03
  L-BFGS-B: Loss = 1.856250e-02, Grad Norm = 2.965286e-01, nu_pinn_grad = -2.060633e-03
  L-BFGS-B: Loss = 1.831648e-02, Grad Norm = 2.802826e-01, nu_pinn_grad = -3.029719e-03
  L-BFGS-B: Loss = 1.817228e-02, Grad Norm = 2.719849e-01, nu_pinn_grad = -3.604183e-03
  L-BFGS-B: Loss = 1.800458e-02, Grad Norm = 4.152422e-01, nu_pinn_grad = -4.187151e-03
  L-BFGS-B: Loss = 1.771425e-02, Grad Norm = 4.148968e-01, nu_pinn_grad = -4.420376e-03
